gesture_1,gesture_2,gesture_3,next_action
three3,middle_finger,middle_finger,rotate_left
point,three3,three3,rotate_left
thumbs_down,littlefinger,pointright,rotate_right
four,littlefinger,None,
thumbs_down,pointleft,pointleft,forward
point,middle_finger,one,rotate_left
middle_finger,pointright,three,down
palm,three,pointleft,down
pointright,thumbs_down,point,forward
three3,pointleft,pointleft,rotate_left
littlefinger,palm,four,forward
three,rock,pointright,down
one,thumbs_down,peace_inverted,STOP
middle_finger,littlefinger,three,rotate_left
pointleft,thumbs_down,peace,forward
pointleft,None,pointleft,
middle_finger,one,None,
middle_finger,palm,pointright,STOP
mute,pointright,four,1
point,rock,thumbs_down,rotate_left
pointright,littlefinger,point,rotate_right
thumbs_up,thumbs_down,thumb_index,1
littlefinger,fist,pointleft,1
one,peace_inverted,fist,rotate_right
three,four,thumbs_up,2
palm,palm,point,rotate_right
three,one,pointleft,forward
thumbs_up,one,thumbs_down,rotate_left
pointright,palm,pointright,forward
middle_finger,thumb_index,thumbs_down,down
thumb_index,rock,middle_finger,1
rock,one,pointright,down
thumbs_down,palm,middle_finger,2
rock,one,mute,rotate_left
middle_finger,thumb_index,fist,rotate_left
point,point,four,rotate_left
None,point,three,
rock,None,None,
fist,three3,point,rotate_right
point,one,middle_finger,forward
