gesture_1,gesture_2,gesture_3,next_action
thumb_index,middle_finger,thumb_down,backward
four,one_right,call,unknown
three3,fist,dislike,STOP
ok,three3,two_down,unknown
hand_down,three3,dislike,unknown
hand_right,palm,one_right,STOP
grabbing,one_right,two_down,unknown
point,thumb_right,one_right,rotate_right
one,peace_inverted,hand_down,unknown
grabbing,part_hand_heart,half_up,unknown
stop,three3,like,STOP
point,grabbing,two_right,unknown
two_right,half_left,like,unknown
thumb_right,thumb_left,ok,unknown
stop,three3,like,STOP
three_gun,like,thumb_left,unknown
grip,two_left,thumb_right,unknown
peace,hand_left,little_finger,rotate_left*1
thumb_left,thumb_left,one_right,rotate_right
half_right,call,stop_inverted,unknown
little_finger,peace,thumb_right,rotate_right
dislike,rock,hand_down,unknown
fist,thumb_right,little_finger,STOP
stop,part_hand_heart,fist_inverted,unknown
ok,rock,point,unknown
three_gun,half_left,two_down,unknown
stop,little_finger,one_left,STOP
part_hand_heart,half_down,three,unknown
palm,point,half_left,unknown
one_down,middle_finger,three_gun,unknown
thumb_down,thumb_left,stop,STOP
little_finger,palm,four,STOP
thumb_down,point,grip,unknown
two_up,hand_left,little_finger,unknown
thumb_left,thumb_left,one_right,rotate_right
three,two_up,hand_left,unknown
two_up_inverted,half_right,peace_inverted,unknown
point,three,thumb_index,forward
thumb_down,thumb_left,stop,STOP
three,thumb_right,two_up,unknown
ok,three2,four,unknown
fist,thumb_right,little_finger,STOP
stop,little_finger,one_left,STOP
three,dislike,fist,STOP
fist,two_down,three,unknown
one_down,middle_finger,mute,unknown
peace_inverted,grabbing,thumb_down,unknown
point,three,thumb_index,forward
three3,fist,dislike,STOP
thumb_index,thumb_down,three3,backward*3
three,call,two_up_inverted,unknown
hand_left,dislike,thumb_right,rotate_right
hand_left,thumb_left,two_up,unknown
three,dislike,fist,STOP
grip,grip,thumb_down,unknown
little_finger,peace,thumb_right,rotate_right
hand_left,like,hand_left,rotate_left
part_hand_heart,middle_finger,palm,unknown
half_down,one_left,call,unknown
three2,hand_right,thumb_right,rotate_right
dislike,one_left,little_finger,rotate_left*1
thumb_down,half_down,one,unknown
fist_inverted,call,three2,unknown
thumb_right,three3,like,forward
half_up,hand_down,thumb_left,unknown
three3,two_left,half_left,unknown
three2,grip,one_left,unknown
palm,one_right,four,STOP
two_down,three2,call,unknown
thumb_right,three3,like,forward
stop,little_finger,one_left,STOP
peace,hand_left,little_finger,rotate_left*1
palm,ok,point,unknown
three2,three_gun,half_right,unknown
ok,part_hand_heart,one_left,unknown
palm,four,little_finger,STOP
palm,four,little_finger,STOP
peace,one_left,half_left,unknown
thumb_down,one,one_down,unknown
thumb_index,mute,thumb_left,unknown
two_down,half_up,part_hand_heart,unknown
two_up_inverted,two_up_inverted,hand_left,unknown
hand_left,three2,three2,rotate_left*3
like,half_left,half_up,unknown
half_down,half_left,half_up,unknown
grip,part_hand_heart2,stop,unknown
hand_left,like,hand_left,rotate_left
half_left,half_right,thumb_left,unknown
mute,one,thumb_down,unknown
palm,hand_down,part_hand_heart2,unknown
thumb_left,thumb_left,one_right,rotate_right
one_left,thumb_right,two_up,unknown
point,thumb_right,one_right,rotate_right
two_right,dislike,four,unknown
four,little_finger,stop_inverted,unknown
part_hand_heart2,rock,ok,unknown
thumb_index,thumb_down,three3,backward*3
palm,one_right,four,STOP
palm,four,little_finger,STOP
rock,dislike,two_up,unknown
one,like,part_hand_heart2,unknown
hand_down,two_up,half_down,unknown
part_hand_heart,palm,stop_inverted,unknown
hand_right,palm,one_right,STOP
one_down,mute,call,unknown
thumb_left,little_finger,grip,unknown
three3,hand_right,half_left,unknown
grip,stop_inverted,one_right,unknown
two_down,thumb_left,point,unknown
middle_finger,peace,fist,STOP
grip,half_right,two_left,unknown
point,peace,ok,unknown
two_up,thumb_index,one_right,unknown
three3,fist,dislike,STOP
part_hand_heart2,thumb_right,thumb_index,unknown
half_up,dislike,two_left,unknown
little_finger,peace,thumb_right,rotate_right
hand_left,dislike,thumb_right,rotate_right
hand_right,part_hand_heart2,part_hand_heart2,unknown
hand_down,thumb_index,fist_inverted,unknown
thumb_right,three3,like,forward
two_left,peace_inverted,little_finger,unknown
two_right,half_up,four,unknown
one_left,hand_right,three3,rotate_right*3
two_up,part_hand_heart,thumb_right,unknown
mute,one_right,part_hand_heart,unknown
three,dislike,fist,STOP
stop_inverted,three_gun,thumb_down,unknown
three3,fist,dislike,STOP
call,one,palm,unknown
hand_down,part_hand_heart2,stop_inverted,unknown
little_finger,palm,part_hand_heart2,unknown
three2,hand_right,thumb_right,rotate_right
three,dislike,fist,STOP
fist,two_left,half_down,unknown
dislike,one_left,little_finger,rotate_left*1
stop,half_left,palm,unknown
palm,four,little_finger,STOP
one_down,rock,hand_right,unknown
part_hand_heart2,grabbing,one_right,unknown
dislike,one_left,little_finger,rotate_left*1
middle_finger,palm,peace_inverted,unknown
stop,half_right,mute,unknown
thumb_right,rock,grip,unknown
part_hand_heart2,two_down,half_up,unknown
thumb_index,middle_finger,thumb_down,backward
little_finger,palm,four,STOP
two_down,three_gun,thumb_down,unknown
two_down,hand_down,three2,unknown
three3,two_up_inverted,hand_left,unknown
grip,thumb_left,little_finger,unknown
hand_right,middle_finger,part_hand_heart,unknown
fist,thumb_right,little_finger,STOP
